TimeStamp,Current (mA),Voltage (V),Power (W),kWh per 1 Minute,Cost per 1 Minute (BDT)
11/26/2023 23:58,213,241.4,25.3,0.000421667,0.0037191
11/26/2023 23:48,156,238.7,19.1,0.000318333,0.0028077
11/26/2023 23:43,123,236.9,15.2,0.000253333,0.0022344
11/26/2023 23:39,137,238.7,16.9,0.000281667,0.0024843
11/26/2023 23:38,290,238.2,36.1,0.000601667,0.0053067
11/26/2023 23:36,208,239.1,21.1,0.000351667,0.0031017
11/26/2023 23:35,219,240.5,31.6,0.000526667,0.0046452
11/26/2023 23:34,134,238.2,15.4,0.000256667,0.0022638
11/26/2023 23:33,202,240.5,29.5,0.000491667,0.0043365
11/26/2023 23:32,130,239.1,16.4,0.000273333,0.0024108
11/26/2023 23:31,212,240,29,0.000483333,0.004263
11/26/2023 23:30,189,239.6,23.1,0.000385,0.0033957
11/26/2023 23:29,156,240.5,24.4,0.000406667,0.0035868
11/26/2023 23:28,338,239.6,50.5,0.000841667,0.0074235
11/26/2023 23:27,345,239.6,46.5,0.000775,0.0068355
11/26/2023 23:20,119,240.9,12.9,0.000215,0.0018963
11/26/2023 23:19,126,238.7,13.7,0.000228333,0.0020139
11/26/2023 23:17,135,239.1,14.6,0.000243333,0.0021462
11/26/2023 23:16,235,240,28.8,0.00048,0.0042336
11/26/2023 23:15,188,239.6,23.2,0.000386667,0.0034104
11/26/2023 23:12,234,238.2,34.8,0.00058,0.0051156
11/26/2023 23:11,218,237.8,28.2,0.00047,0.0041454
11/26/2023 23:10,154,238.2,19.5,0.000325,0.0028665
11/26/2023 23:09,275,238.7,48.3,0.000805,0.0071001
11/26/2023 23:08,165,238.2,21.7,0.000361667,0.0031899
11/26/2023 23:07,196,239.1,27.8,0.000463333,0.0040866
11/26/2023 23:06,203,238.7,20.7,0.000345,0.0030429
11/26/2023 23:05,141,238.2,19.1,0.000318333,0.0028077
11/26/2023 23:04,230,238.7,29.3,0.000488333,0.0043071
11/26/2023 23:02,195,239.1,23.3,0.000388333,0.0034251
11/26/2023 23:01,139,237.4,16.6,0.000276667,0.0024402
11/26/2023 22:59,206,237.8,37.6,0.000626667,0.0055272
11/26/2023 22:58,199,238.2,26.1,0.000435,0.0038367
11/26/2023 22:57,208,237.8,25,0.000416667,0.003675
11/26/2023 22:56,355,239.1,50,0.000833333,0.00735
11/26/2023 22:53,198,237.8,23,0.000383333,0.003381
11/26/2023 22:52,133,238.2,14.2,0.000236667,0.0020874
11/26/2023 22:51,310,239.1,41.5,0.000691667,0.0061005
11/26/2023 22:50,189,237.4,21.1,0.000351667,0.0031017
11/26/2023 22:49,237,238.2,32.8,0.000546667,0.0048216
11/26/2023 22:48,198,237.8,30,0.0005,0.00441
11/26/2023 22:47,285,236.9,39.4,0.000656667,0.0057918
11/26/2023 22:44,158,238.2,20.8,0.000346667,0.0030576
11/26/2023 22:43,220,237.8,27.2,0.000453333,0.0039984
